Product Brand,Product Name,Sativa/Indica/Hybrid,Potency,1/8 Oz Price,1/4 Oz Price,1/2 Oz Price
HillFire,Frootopia,Indica,THC: 20.02%
HillFire,Diesel Lights | 7g,Hybrid,THC: 17.67%  |  CBD: 0.03%
HillFire,Sugar Pi | 3.5g,Indica,THC: 16.69%  |  CBD: 0.04%
HillFire,Blueberry Kush Cake | 3.5g,Hybrid,THC: 18.45%
HillFire,Sundae Driver | 3.5g,Hybrid,THC: 21.08%
HillFire,Sour Papaya,Hybrid,THC: 23.31%
HillFire,Lemon Tart,Sativa,THC: 14.64%
HillFire,Salty Watermelon | 3.5g,Sativa,THC: 22.04%
HillFire,Blueberry Breath,Hybrid,THC: 15.92%
HillFire,Chem OG | 3.5g,Hybrid,THC: 27.06%
HillFire,Gelatti Kush Mints | 3.5g,Hybrid,THC: 24.21%
HillFire,Sour Papaya Smalls | 7g,Hybrid,THC: 19.23%
HillFire,Blueberry Gelato | 3.5g,Hybrid,THC: 21.77%
HillFire,Starbux | 3.5g,Hybrid,THC: 26.66%
HillFire,Sundae Driver Smalls | 7g,Hybrid,THC: 18.8%
HillFire,Frootopia Smalls | 7g,Indica,THC: 20.13%
HillFire,Gorilla Strawberryback | 3.5g,Hybrid,THC: 14.98%
HillFire,Katana Kush | 3.5g,Hybrid,THC: 18.09%
HillFire,Platinum Dosi Smalls | 7g,Indica,THC: 14.33%
HillFire,Chem OG Smalls | 7g,Hybrid,THC: 21.88%
HillFire,Motor Cake | 3.5g,Hybrid,THC: 22.59%
HillFire,Orange Kush Cake | 3.5g,Indica,THC: 24.19%
HillFire,Gelatti Kush Mints Smalls | 7g,Hybrid,THC: 22.84%
HillFire,Grape Lime Ricky Smalls | 7g,Indica,
Country Grown,Orange Runtz | 7g,Sativa,THC: 21.7%
Seed & Strain,Mixed Strain Shake | 14g,Hybrid,THC: 17.68%
Essence Flower,Punch Cookies | 3.5g,Hybrid,THC: 17.78%
Strane,Space MC | 3.5g,Hybrid,THC: 17.89%
Strane,Jet Ringz | 3.5g,Hybrid,THC: 18.46%
Strane,Compound Z | 3.5g,Indica,THC: 21.23%
AltSol,Bruce Banner,Hybrid,THC: 23.73%
AltSol,Panama Red | 3.5g,Sativa,THC: 22.47%
AltSol,Gelatti Mints | 3.5g,Hybrid,THC: 24.5%
Strane,RS 11 | 3.5g,Hybrid,THC: 20.76%
Savvy,B-52 Bomber Ground | 7g,Sativa,THC: 19%
Savvy,Cherry Punch Ground | 7g,Hybrid,THC: 18.46%
AltSol,Clemenberry | 3.5g,Hybrid,THC: 20.34%
AltSol,Jack Herer | 1g,Hybrid,THC: 22% - 24%
Strane,Grape GG | 3.5g,Indica,THC: 20.68%
Strane,Jokerz | 3.5g,Indica,THC: 24.3%
AltSol,Zack's Cake,Sativa,THC: 22.23%
AltSol,Lemon Skunk,Hybrid,THC: 21%
Triple Seven,Jack Herer | 3.5g,Sativa,THC: 21.6%
Classix,Wild Thailand | 3.5g,Sativa,THC: 21.41%
Triple Seven,Jungle GMO | 3.5g,Hybrid,THC: 25.41%
Strane,Rylu | 3.5g,Indica,THC: 20.75%
Strane,L.A.B. | 3.5g,Indica,THC: 27.38%
